"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"2920","7.984614","ArubaAHe_35:83:02","Apple_6e:03:01","LLC","QoS Data","109","0.000000000","S, func=RR, N(R)=0; DSAP 0x88 Individual, SSAP PROWAY (IEC955) Active Station List Maintenance Command","0.000000000"
"2921","7.985555","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","109","0.000941000","Request, Identity","0.000000000"
"2939","8.025476","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","109","0.039921000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2951","8.058239","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1071","0.032763000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2958","8.072578","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.014339000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2963","8.086791","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.014213000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2969","8.096333","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.009542000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2977","8.111171","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.014838000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2978","8.119791","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.008620000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2981","8.137080","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.017289000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2982","8.146221","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.009141000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2983","8.154967","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.008746000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2989","8.168419","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.013452000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2995","8.189548","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.021129000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"2996","8.198655","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.009107000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"3011","8.225285","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.026630000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"3030","8.239974","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.014689000","Request, Protected EAP (EAP-PEAP)","0.000000000"
"3031","8.248676","ArubaAHe_35:83:02","Apple_6e:03:01","EAP","QoS Data","1067","0.008702000","Request, Protected EAP (EAP-PEAP)","0.000000000"
