"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"2379","9.873953","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000000000","QoS Data, SN=539, FN=0, Flags=.p....F.C","0.000000000"
"2662","10.896795","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","217","1.022842000","QoS Data, SN=3935, FN=0, Flags=.pm...F.C","0.000000000"
"2664","10.897005","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000210000","QoS Data, SN=3936, FN=0, Flags=.pm...F.C","0.000000000"
"2666","10.897480","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000475000","QoS Data, SN=3937, FN=0, Flags=.p....F.C","0.000000000"
"2721","11.053921","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","148","0.156441000","QoS Data, SN=3938, FN=0, Flags=.p....F.C","0.000000000"
"2727","11.062206","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","148","0.008285000","QoS Data, SN=3939, FN=0, Flags=.p....F.C","0.000000000"
"2729","11.064394","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","148","0.002188000","QoS Data, SN=3940, FN=0, Flags=.p....F.C","0.000000000"
"9840","58.820584","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","191","47.756190000","QoS Data, SN=3941, FN=0, Flags=.p....F.C","0.000000000"
"9843","58.821236","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","191","0.000652000","QoS Data, SN=3941, FN=0, Flags=.p..R.F.C","0.000000000"
"9870","58.928160","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.106924000","QoS Data, SN=3942, FN=0, Flags=.p....F.C","0.000000000"
"9873","58.928381","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000221000","QoS Data, SN=3942, FN=0, Flags=.p..R.F.C","0.000000000"
"9877","58.947190","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.018809000","QoS Data, SN=3943, FN=0, Flags=.p....F.C","0.000000000"
