"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"7046","9.308953","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000000000","QoS Data, SN=1424, FN=0, Flags=.p....F.C","0.000000000"
"7319","9.618001","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.309048000","QoS Data, SN=1425, FN=0, Flags=.p....F.C","0.000000000"
"10786","14.308183","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","130","4.690182000","QoS Data, SN=1426, FN=0, Flags=.p....F.C","0.000000000"
"11071","14.725964","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1594","0.417781000","QoS Data, SN=1427, FN=0, Flags=.p....F.C","0.000000000"
"11076","14.726345","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","232","0.000381000","QoS Data, SN=1428, FN=0, Flags=.p....F.C","0.000000000"
"64449","57.158274","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","465","42.431929000","QoS Data, SN=3972, FN=0, Flags=.p.....TC","0.000000000"
"64453","57.158501","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","465","0.000227000","QoS Data, SN=1429, FN=0, Flags=.p....F.C","0.000000000"
"64545","57.222764","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","154","0.064263000","QoS Data, SN=3973, FN=0, Flags=.p.....TC","0.000000000"
"64549","57.223900","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","154","0.001136000","QoS Data, SN=1430, FN=0, Flags=.p....F.C","0.000000000"
"64568","57.226133","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.002233000","QoS Data, SN=3974, FN=0, Flags=.p.....TC","0.000000000"
"64572","57.226805","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000672000","QoS Data, SN=1431, FN=0, Flags=.p....F.C","0.000000000"
"64638","57.281567","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","178","0.054762000","QoS Data, SN=1432, FN=0, Flags=.p....F.C","0.000000000"
"64641","57.281882","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","178","0.000315000","QoS Data, SN=1433, FN=0, Flags=.p....F.C","0.000000000"
"64673","57.301167","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","183","0.019285000","QoS Data, SN=1434, FN=0, Flags=.p....F.C","0.000000000"
"64677","57.301479","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","183","0.000312000","QoS Data, SN=1435, FN=0, Flags=.p....F.C","0.000000000"
"64695","57.307882","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","1546","0.006403000","QoS Data, SN=1436, FN=0, Flags=.p....F.C","0.000000000"
"64701","57.308389","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000507000","QoS Data, SN=1437, FN=0, Flags=.p....F.C","0.000000000"
"64723","57.312243","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.003854000","QoS Data, SN=1438, FN=0, Flags=.p....F.C","0.000000000"
"65074","57.478452","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","166","0.166209000","QoS Data, SN=1439, FN=0, Flags=.p....F.C","0.000000000"
"65098","57.489764","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1480","0.011312000","QoS Data, SN=1440, FN=0, Flags=.p....F.C","0.000000000"
"65103","57.490479","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1480","0.000715000","QoS Data, SN=1441, FN=0, Flags=.p....F.C","0.000000000"
"65131","57.507257","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","166","0.016778000","QoS Data, SN=1442, FN=0, Flags=.p....F.C","0.000000000"
"65144","57.514414","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1480","0.007157000","QoS Data, SN=1443, FN=0, Flags=.p....F.C","0.000000000"
"65155","57.517756","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1480","0.003342000","QoS Data, SN=1444, FN=0, Flags=.p....F.C","0.000000000"
"65412","57.694697","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1480","0.176941000","QoS Data, SN=1445, FN=0, Flags=.p....F.C","0.000000000"
"65533","57.749943","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1480","0.055246000","QoS Data, SN=1446, FN=0, Flags=.p....F.C","0.000000000"
"65553","57.753398","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","162","0.003455000","QoS Data, SN=1447, FN=0, Flags=.p....F.C","0.000000000"
"65554","57.753538","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","162","0.000140000","QoS Data, SN=1448, FN=0, Flags=.p....F.C","0.000000000"
"65555","57.753731","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1476","0.000193000","QoS Data, SN=1449, FN=0, Flags=.p....F.C","0.000000000"
"65556","57.753827","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1476","0.000096000","QoS Data, SN=1450, FN=0, Flags=.p....F.C","0.000000000"
"65557","57.753924","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","150","0.000097000","QoS Data, SN=1451, FN=0, Flags=.p....F.C","0.000000000"
"65689","57.787040","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","662","0.033116000","QoS Data, SN=1452, FN=0, Flags=.p....F.C","0.000000000"
"65700","57.789574","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","662","0.002534000","QoS Data, SN=1452, FN=0, Flags=.p....F.C","0.000000000"
"65708","57.790603","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","405","0.001029000","QoS Data, SN=1453, FN=0, Flags=.p....F.C","0.000000000"
"65753","57.794892","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","341","0.004289000","QoS Data, SN=1454, FN=0, Flags=.p....F.C","0.000000000"
"65761","57.796522","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","341","0.001630000","QoS Data, SN=1454, FN=0, Flags=.p....F.C","0.000000000"
"65780","57.799716","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","274","0.003194000","QoS Data, SN=1455, FN=0, Flags=.p....F.C","0.000000000"
"65781","57.799766","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","150","0.000050000","QoS Data, SN=1456, FN=0, Flags=.p....F.C","0.000000000"
"65863","57.821837","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","150","0.022071000","QoS Data, SN=1457, FN=0, Flags=.p....F.C","0.000000000"
"65875","57.823761","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","150","0.001924000","QoS Data, SN=1457, FN=0, Flags=.p....F.C","0.000000000"
"65880","57.824905","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","150","0.001144000","QoS Data, SN=1457, FN=0, Flags=.p....F.C","0.000000000"
"65918","57.834638","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1480","0.009733000","QoS Data, SN=1458, FN=0, Flags=.p....F.C","0.000000000"
"65923","57.835623","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1480","0.000985000","QoS Data, SN=1458, FN=0, Flags=.p....F.C","0.000000000"
"65926","57.836325","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1480","0.000702000","QoS Data, SN=1458, FN=0, Flags=.p....F.C","0.000000000"
"65930","57.839915","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1476","0.003590000","QoS Data, SN=1459, FN=0, Flags=.p....F.C","0.000000000"
"65931","57.840048","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1476","0.000133000","QoS Data, SN=1460, FN=0, Flags=.p....F.C","0.000000000"
"65932","57.840700","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1476","0.000652000","QoS Data, SN=1461, FN=0, Flags=.p....F.C","0.000000000"
"65933","57.840810","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1476","0.000110000","QoS Data, SN=1462, FN=0, Flags=.p....F.C","0.000000000"
"65934","57.840898","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1476","0.000088000","QoS Data, SN=1463, FN=0, Flags=.p....F.C","0.000000000"
"65935","57.841557","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1245","0.000659000","QoS Data, SN=1464, FN=0, Flags=.p....F.C","0.000000000"
"65936","57.841666","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","228","0.000109000","QoS Data, SN=1465, FN=0, Flags=.p....F.C","0.000000000"
"65937","57.841721","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1476","0.000055000","QoS Data, SN=1466, FN=0, Flags=.p....F.C","0.000000000"
"65938","57.841837","AirtiesW_bc:2b:ec","Tp-LinkT_87:47:6e","802.11","QoS Data","1476","0.000116000","QoS Data, SN=1467, FN=0, Flags=.p....F.C","0.000000000"
